Time ,error_voltage,reference_voltage,input_voltage,output_voltage,reward,action,action_values
1.6285,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -7.089979894771271e+71, 'Ki': -6.626576406698821e+71, 'Kd': -5.699769430554012e+71}"
1.6286,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -7.160879693718984e+71, 'Ki': -6.692842170765809e+71, 'Kd': -5.756767124859552e+71}"
1.6287,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -7.232488490656174e+71, 'Ki': -6.759770592473467e+71, 'Kd': -5.814334796108148e+71}"
1.6288,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -7.304813375562736e+71, 'Ki': -6.827368298398201e+71, 'Kd': -5.872478144069229e+71}"
1.6289,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -7.377861509318363e+71, 'Ki': -6.895641981382183e+71, 'Kd': -5.931202925509921e+71}"
1.629,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -7.451640124411547e+71, 'Ki': -6.964598401196005e+71, 'Kd': -5.99051495476502e+71}"
1.6291,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -7.526156525655662e+71, 'Ki': -7.034244385207966e+71, 'Kd': -6.050420104312671e+71}"
1.6292,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -7.601418090912219e+71, 'Ki': -7.104586829060046e+71, 'Kd': -6.110924305355798e+71}"
1.6293,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -7.677432271821341e+71, 'Ki': -7.175632697350646e+71, 'Kd': -6.172033548409356e+71}"
1.6294,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -7.754206594539554e+71, 'Ki': -7.247389024324153e+71, 'Kd': -6.23375388389345e+71}"
1.6295,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -7.83174866048495e+71, 'Ki': -7.319862914567395e+71, 'Kd': -6.296091422732384e+71}"
1.6296,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -7.910066147089799e+71, 'Ki': -7.393061543713069e+71, 'Kd': -6.359052336959707e+71}"
1.6297,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -7.989166808560697e+71, 'Ki': -7.4669921591502e+71, 'Kd': -6.422642860329304e+71}"
1.6298,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -8.069058476646304e+71, 'Ki': -7.541662080741701e+71, 'Kd': -6.486869288932598e+71}"
1.6299,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -8.149749061412768e+71, 'Ki': -7.617078701549118e+71, 'Kd': -6.551737981821924e+71}"
1.63,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -8.231246552026895e+71, 'Ki': -7.693249488564609e+71, 'Kd': -6.617255361640142e+71}"
1.6301,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -8.313559017547164e+71, 'Ki': -7.770181983450255e+71, 'Kd': -6.683427915256543e+71}"
1.6302,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -8.396694607722636e+71, 'Ki': -7.847883803284758e+71, 'Kd': -6.750262194409109e+71}"
1.6303,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -8.480661553799862e+71, 'Ki': -7.926362641317605e+71, 'Kd': -6.8177648163532e+71}"
1.6304,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -8.56546816933786e+71, 'Ki': -8.005626267730781e+71, 'Kd': -6.885942464516733e+71}"
1.6305,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -8.651122851031239e+71, 'Ki': -8.085682530408089e+71, 'Kd': -6.9548018891619e+71}"
1.6306,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -8.737634079541551e+71, 'Ki': -8.16653935571217e+71, 'Kd': -7.024349908053519e+71}"
1.6307,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -8.825010420336967e+71, 'Ki': -8.248204749269291e+71, 'Kd': -7.094593407134054e+71}"
1.6308,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -8.913260524540337e+71, 'Ki': -8.330686796761984e+71, 'Kd': -7.165539341205395e+71}"
1.6309,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -9.002393129785741e+71, 'Ki': -8.413993664729603e+71, 'Kd': -7.237194734617448e+71}"
1.631,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -9.092417061083598e+71, 'Ki': -8.4981336013769e+71, 'Kd': -7.309566681963622e+71}"
1.6311,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -9.183341231694434e+71, 'Ki': -8.583114937390668e+71, 'Kd': -7.382662348783259e+71}"
1.6312,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -9.275174644011379e+71, 'Ki': -8.668946086764575e+71, 'Kd': -7.456488972271091e+71}"
1.6313,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -9.367926390451492e+71, 'Ki': -8.755635547632221e+71, 'Kd': -7.531053861993802e+71}"
1.6314,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -9.461605654356007e+71, 'Ki': -8.843191903108542e+71, 'Kd': -7.606364400613741e+71}"
1.6315,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -9.556221710899568e+71, 'Ki': -8.931623822139627e+71, 'Kd': -7.682428044619878e+71}"
1.6316,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -9.651783928008564e+71, 'Ki': -9.020940060361022e+71, 'Kd': -7.759252325066077e+71}"
1.6317,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -9.74830176728865e+71, 'Ki': -9.111149460964633e+71, 'Kd': -7.836844848316738e+71}"
1.6318,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -9.845784784961536e+71, 'Ki': -9.20226095557428e+71, 'Kd': -7.915213296799905e+71}"
1.6319,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -9.94424263281115e+71, 'Ki': -9.294283565130022e+71, 'Kd': -7.994365429767905e+71}"
1.632,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -1.0043685059139263e+72, 'Ki': -9.387226400781322e+71, 'Kd': -8.074309084065584e+71}"
1.6321,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -1.0144121909730655e+72, 'Ki': -9.481098664789136e+71, 'Kd': -8.155052174906239e+71}"
1.6322,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -1.0245563128827962e+72, 'Ki': -9.575909651437028e+71, 'Kd': -8.236602696655302e+71}"
1.6323,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -1.0348018760116242e+72, 'Ki': -9.671668747951397e+71, 'Kd': -8.318968723621855e+71}"
1.6324,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -1.0451498947717405e+72, 'Ki': -9.76838543543091e+71, 'Kd': -8.402158410858073e+71}"
1.6325,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -1.0556013937194578e+72, 'Ki': -9.86606928978522e+71, 'Kd': -8.486179994966654e+71}"
1.6326,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -1.0661574076566525e+72, 'Ki': -9.964729982683071e+71, 'Kd': -8.571041794916321e+71}"
1.6327,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -1.076818981733219e+72, 'Ki': -1.0064377282509903e+72, 'Kd': -8.656752212865484e+71}"
1.6328,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -1.087587171550551e+72, 'Ki': -1.0165021055335003e+72, 'Kd': -8.743319734994139e+71}"
1.6329,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -1.0984630432660565e+72, 'Ki': -1.0266671265888353e+72, 'Kd': -8.83075293234408e+71}"
1.633,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -1.109447673698717e+72, 'Ki': -1.0369337978547237e+72, 'Kd': -8.919060461667521e+71}"
1.6331,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -1.1205421504357043e+72, 'Ki': -1.047303135833271e+72, 'Kd': -9.008251066284196e+71}"
